# format: notyas-goldens/1
# One line per (frame, panel). Written only by `cargo run -p uisim -- approve`,
# which refuses to write while any frame draws off its panel or any declared
# screen state is missing. A diff here IS the approval record.
# columns: frame  panel  sha256[..8]  ink=x,y,w,h  px=<ink pixels>  reg=<count>:<digest>
wallet-home/stored-with-keys       800x1280  47a284f8db9fd97d ink=0,0,800,887         px=619432   reg=6:b1c0a3c6
wallet-home/stored-with-keys       1024x600  a2dc41f215c13b03 ink=0,0,1024,568        px=498944   reg=6:ab6a5a03
wallet-list/many                   720x720   a3b8790de4dc3fd3 ink=0,0,720,696         px=386259   reg=7:3aa7c8eb
wallet-list/many                   720x1280  8b611779880dd591 ink=0,0,720,1256        px=397299   reg=7:7ea4ce69
wallet-list/many                   800x480   d6138e6a98faeb1d ink=0,0,800,454         px=252465   reg=6:0ff3ee9e
wallet-list/many                   800x1280  91cb745ef3985069 ink=0,0,800,1254        px=441859   reg=7:bb401166
wallet-list/many                   1024x600  73e0722bf2f32ca4 ink=0,0,1024,568        px=425331   reg=7:6afa7619
wallet-list/none                   720x720   2860999664afc1be ink=0,0,720,696         px=208902   reg=4:eba5dad5
wallet-list/none                   720x1280  e3e4bde2e971c09c ink=0,0,720,1256        px=219942   reg=4:e995f68b
wallet-list/none                   800x480   63c3e20cc82cddf8 ink=0,0,800,454         px=207622   reg=4:358a5c6f
wallet-list/none                   800x1280  2a1514bf0d598e04 ink=0,0,800,1254        px=244438   reg=4:de10fe18
wallet-list/none                   1024x600  2b42770823c50915 ink=0,0,1024,568        px=235302   reg=4:dd8d8570
wallet-list/one                    720x720   43e0fc18fbd39938 ink=0,0,720,696         px=180616   reg=5:d3328181
wallet-list/one                    720x1280  a5d8be1eacd75800 ink=0,0,720,1256        px=191656   reg=5:4ef46f64
wallet-list/one                    800x480   d32de2f3d59a6636 ink=0,0,800,454         px=176144   reg=5:b56e3ab2
wallet-list/one                    800x1280  116bbb9890ee0942 ink=0,0,800,1254        px=212960   reg=5:41c5dd92
wallet-list/one                    1024x600  227a635e40b0ed38 ink=0,0,1024,568        px=229480   reg=5:6d0cf0bb
wallet-list/unreadable-slot        720x720   f0532509d89b81a9 ink=0,0,720,696         px=180616   reg=4:eba5dad5
wallet-list/unreadable-slot        720x1280  f795c9141007cffa ink=0,0,720,1256        px=191656   reg=4:e995f68b
wallet-list/unreadable-slot        800x480   17ab4adaa28ceb7c ink=0,0,800,454         px=176144   reg=4:358a5c6f
wallet-list/unreadable-slot        800x1280  9f44cb39bcbf0843 ink=0,0,800,1254        px=212960   reg=4:de10fe18
wallet-list/unreadable-slot        1024x600  ee5bb2286561c772 ink=0,0,1024,568        px=229480   reg=4:dd8d8570
wipe-policy/default                720x720   cba5690b5b7a3b26 ink=0,0,720,696         px=170691   reg=4:3a6a5dad
wipe-policy/default                720x1280  5930198846eda771 ink=0,0,720,1256        px=229701   reg=4:21d54b26
wipe-policy/default                800x480   67e0837718bec699 ink=0,0,800,454         px=141548   reg=4:3d4c5578
wipe-policy/default                800x1280  1fdab93b0aad1484 ink=0,0,800,1254        px=256724   reg=4:905f005d
wipe-policy/default                1024x600  368544523f1194a7 ink=0,0,1024,568        px=184867   reg=4:05eaa9ff
wipe-policy/edited                 720x720   b8ee2496eb34dfaf ink=0,0,720,696         px=273293   reg=5:9ba3685a
wipe-policy/edited                 720x1280  a943522156e4f278 ink=0,0,720,1256        px=332303   reg=5:acb4fd7f
wipe-policy/edited                 800x480   7f2fb7826bb43953 ink=0,0,800,454         px=256016   reg=5:fa4087f8
wipe-policy/edited                 800x1280  a4d4b7123f200a07 ink=0,0,800,1254        px=371182   reg=5:7ed9adae
wipe-policy/edited                 1024x600  d93dd5f1f6349333 ink=0,0,1024,568        px=297837   reg=5:a6548663
wipe-policy/wipe-off-arithmetic    720x720   fb45791e564dba0f ink=24,24,672,672       px=136450   reg=3:41342507
wipe-policy/wipe-off-arithmetic    720x1280  b1f0292579298043 ink=24,24,672,1232      px=136450   reg=3:1301cf06
wipe-policy/wipe-off-arithmetic    800x480   615155dee5195653 ink=26,26,748,428       px=130170   reg=3:c6bc7051
wipe-policy/wipe-off-arithmetic    800x1280  c29bba70cfdb4f15 ink=26,26,748,1228      px=147578   reg=3:976f1857
wipe-policy/wipe-off-arithmetic    1024x600  99a71df8af014b8e ink=32,32,960,536       px=160218   reg=3:1b3c4dc9
wipe-policy/wipe-off-typed         720x720   2d96be74c54f3196 ink=24,24,672,672       px=225802   reg=33:285b079e
wipe-policy/wipe-off-typed         720x1280  eba3312bd1a9b5a6 ink=24,24,672,1232      px=257078   reg=33:ea1f1fef
wipe-policy/wipe-off-typed         800x480   f1a43eafcf4a26c7 ink=26,26,748,428       px=150490   reg=33:3ec0056f
wipe-policy/wipe-off-typed         800x1280  2a2b019938f687c9 ink=26,26,748,1228      px=284558   reg=33:1bba1e5c
wipe-policy/wipe-off-typed         1024x600  9bee6aabcce08d68 ink=32,32,960,536       px=176878   reg=33:1beebe68
working/checking-transaction       720x720   e870e248ca412ac4 ink=0,0,720,454         px=138240   reg=0:e3b0c442
working/checking-transaction       720x1280  94c01bfa441aa1cd ink=0,0,720,738         px=144000   reg=0:e3b0c442
working/checking-transaction       800x480   9d1b321f4d6d6247 ink=0,0,800,327         px=143204   reg=0:e3b0c442
working/checking-transaction       800x1280  2f80cbd59d1ad191 ink=0,0,800,739         px=162404   reg=0:e3b0c442
working/checking-transaction       1024x600  00736141c19a4d1e ink=0,0,1024,391        px=194304   reg=0:e3b0c442
working/multisig-reading-card      720x720   d8d1144defc8df85 ink=0,0,720,204         px=65271    reg=0:e3b0c442
working/multisig-reading-card      720x1280  91c32fc90399ab42 ink=0,0,720,212         px=71031    reg=0:e3b0c442
working/multisig-reading-card      800x480   0fdf39212d89105d ink=0,0,800,159         px=58871    reg=0:e3b0c442
working/multisig-reading-card      800x1280  e4680bc2c82133b5 ink=0,0,800,183         px=78071    reg=0:e3b0c442
working/multisig-reading-card      1024x600  715036ae76da0d7d ink=0,0,1024,164        px=75255    reg=0:e3b0c442
working/reading                    720x720   197e03417eddd140 ink=0,0,720,454         px=138240   reg=0:e3b0c442
working/reading                    720x1280  9e73a5df1dd51084 ink=0,0,720,738         px=144000   reg=0:e3b0c442
working/reading                    800x480   4435790b8412c7e0 ink=0,0,800,327         px=143204   reg=0:e3b0c442
working/reading                    800x1280  371139636e9fe3c5 ink=0,0,800,739         px=162404   reg=0:e3b0c442
working/reading                    1024x600  1bbcd131f27ff925 ink=0,0,1024,391        px=194304   reg=0:e3b0c442
working/reading-card               720x720   197e03417eddd140 ink=0,0,720,454         px=138240   reg=0:e3b0c442
working/reading-card               720x1280  9e73a5df1dd51084 ink=0,0,720,738         px=144000   reg=0:e3b0c442
working/reading-card               800x480   4435790b8412c7e0 ink=0,0,800,327         px=143204   reg=0:e3b0c442
working/reading-card               800x1280  371139636e9fe3c5 ink=0,0,800,739         px=162404   reg=0:e3b0c442
working/reading-card               1024x600  1bbcd131f27ff925 ink=0,0,1024,391        px=194304   reg=0:e3b0c442
working/writing                    720x720   caeb37d1776d7fad ink=0,0,720,481         px=174528   reg=0:e3b0c442
working/writing                    720x1280  f4f5e11fb445b0a5 ink=0,0,720,765         px=180288   reg=0:e3b0c442
working/writing                    800x480   2a27dd8ec8745d7a ink=0,0,800,354         px=184344   reg=0:e3b0c442
working/writing                    800x1280  d1431205b8037afb ink=0,0,800,766         px=203544   reg=0:e3b0c442
working/writing                    1024x600  2f658e69a74ab986 ink=0,0,1024,420        px=249984   reg=0:e3b0c442
